LABEL_VAR,PAGE_LIST,ROW_LIST,COL_LIST
All live stocking,Y,Y,Y
AppalachianRegionARC,Y,Y,Y
Artificial regen species,Y,Y,N
Aspect,Y,Y,Y
Azimuth of tree from subplot center,Y,Y,Y
Basal area all live,Y,Y,Y
Cause of death,Y,Y,Y
Condition number,Y,Y,Y
Condition proportion,Y,Y,Y
Congressional District,Y,Y,N
County code and name,N,Y,N
CountyGroup,N,Y,N
Crown class,Y,Y,Y
Crown ratio,Y,Y,Y
Damage location 1,Y,Y,Y
Damage location 2,Y,Y,Y
Damage severity 1,Y,Y,Y
Damage severity 2,Y,Y,Y
Damage type 1,Y,Y,Y
Damage type 2,Y,Y,Y
Dead tree decay,Y,Y,Y
Diameter class: 2 inch class to 29,Y,Y,Y
Diameter class: 2 inch class to 41,Y,Y,Y
Diameter class: current,N,N,N
Distance to road,Y,Y,Y
Disturbance 1,Y,Y,Y
Disturbance 2,Y,Y,Y
Disturbance 3,Y,Y,Y
Ecoregion section,N,Y,N
Ecoregion subsection,Y,Y,N
Elevation,Y,Y,Y
EMAPHEX,N,Y,N
Forest Service Region,Y,Y,Y
Forest type,Y,Y,N
Forest type field call,Y,Y,N
Forest type group,Y,Y,N
Forest type group abbr,Y,Y,Y
Forest Type MnDNR,Y,Y,Y
Growing-stock stocking,Y,Y,Y
Height,Y,Y,Y
HeightFAA,N,N,N
Horizontal distance of tree from subplot center,Y,Y,Y
Hydrological Unit Code 8,Y,Y,N
Inventory subcycle number,Y,Y,Y
Land class,Y,Y,Y
Land use,Y,Y,Y
Land Use - Major,Y,Y,Y
Major region,Y,Y,Y
National Forests,Y,Y,Y
National Forests: ALP,Y,Y,N
Net cubic foot volume in tree,Y,Y,Y
NFS Region ALP,Y,Y,Y
Ownership all classes,N,N,N
Ownership class,Y,Y,Y
Ownership group,Y,Y,Y
Ownership group - Major,Y,Y,Y
Ownership with all FS classes,Y,Y,Y
Physiographic class,Y,Y,Y
Present nonforest code remeasurement plots,Y,Y,Y
Primary disturbance,Y,Y,Y
Reserved status class,Y,Y,Y
Rotten and missing cull,Y,Y,Y
RPA Subregion State,Y,Y,Y
Site index,Y,Y,Y
Site productivity class,Y,Y,Y
Slope,Y,Y,Y
SoForFuturesSubReg,Y,Y,N
Species,Y,Y,N
Species (seedling),Y,Y,N
Species group,Y,Y,N
Species group - Major,Y,Y,Y
Species group - MajorGroup,Y,Y,N
Species group (seedling),Y,Y,N
Species scientific name,Y,Y,N
Stand age 20 yr classes (0 to 100+),Y,Y,Y
Stand age 20 yr classes (0 to 500+),Y,Y,Y
Stand age 5 yr classes,Y,Y,Y
Stand origin,Y,Y,Y
Stand origin species,Y,Y,N
Stand treatment 1,Y,Y,Y
Stand treatment 2,Y,Y,Y
Stand-size class,Y,Y,Y
Stand-size(field call),Y,Y,Y
State code,Y,Y,N
Tree class,Y,Y,Y
Tree grade,Y,Y,Y
Tree size class,Y,Y,Y
Tree status,Y,Y,Y
Unit code,N,Y,N
